id,root,root_pc,quality,is_seventh,symbol,pitch_names,pitch_classes,pcs_tuple
174,G#,8,maj7,True,G#maj7,"['G#', 'B#', 'D#', 'F##']","[8, 0, 3, 7]","(0, 3, 7, 8)"
175,G#,8,7,True,G#7,"['G#', 'B#', 'D#', 'F#']","[8, 0, 3, 6]","(0, 3, 6, 8)"
176,G#,8,min7,True,G#m7,"['G#', 'B', 'D#', 'F#']","[8, 11, 3, 6]","(3, 6, 8, 11)"
177,G#,8,halfdim7,True,G#m7b5,"['G#', 'B', 'D', 'F#']","[8, 11, 2, 6]","(2, 6, 8, 11)"
178,G#,8,dim7,True,G#dim7,"['G#', 'B', 'D', 'F']","[8, 11, 2, 5]","(2, 5, 8, 11)"
179,G#,8,it6,False,G#It6,"['E', 'G#', 'C##']","[4, 8, 2]","(2, 4, 8)"
180,Ab,8,maj,False,Ab,"['Ab', 'C', 'Eb']","[8, 0, 3]","(0, 3, 8)"
181,Ab,8,min,False,Abm,"['Ab', 'Cb', 'Eb']","[8, 11, 3]","(3, 8, 11)"
182,Ab,8,sus2,False,Absus2,"['Ab', 'Bb', 'Eb']","[8, 10, 3]","(3, 8, 10)"
183,Ab,8,sus4,False,Absus4,"['Ab', 'Db', 'Eb']","[8, 1, 3]","(1, 3, 8)"
184,Ab,8,aug,False,Abaug,"['Ab', 'C', 'E']","[8, 0, 4]","(0, 4, 8)"
185,Ab,8,dim,False,Abdim,"['Ab', 'Cb', 'Ebb']","[8, 11, 2]","(2, 8, 11)"
186,Ab,8,maj7,True,Abmaj7,"['Ab', 'C', 'Eb', 'G']","[8, 0, 3, 7]","(0, 3, 7, 8)"
187,Ab,8,7,True,Ab7,"['Ab', 'C', 'Eb', 'Gb']","[8, 0, 3, 6]","(0, 3, 6, 8)"
188,Ab,8,min7,True,Abm7,"['Ab', 'Cb', 'Eb', 'Gb']","[8, 11, 3, 6]","(3, 6, 8, 11)"
189,Ab,8,halfdim7,True,Abm7b5,"['Ab', 'Cb', 'Ebb', 'Gb']","[8, 11, 2, 6]","(2, 6, 8, 11)"
190,Ab,8,dim7,True,Abdim7,"['Ab', 'Cb', 'Ebb', 'Gbb']","[8, 11, 2, 5]","(2, 5, 8, 11)"
191,Ab,8,it6,False,AbIt6,"['Fb', 'Ab', 'D']","[4, 8, 2]","(2, 4, 8)"
192,A,9,maj,False,A,"['A', 'C#', 'E']","[9, 1, 4]","(1, 4, 9)"
193,A,9,min,False,Am,"['A', 'C', 'E']","[9, 0, 4]","(0, 4, 9)"
194,A,9,sus2,False,Asus2,"['A', 'B', 'E']","[9, 11, 4]","(4, 9, 11)"
195,A,9,sus4,False,Asus4,"['A', 'D', 'E']","[9, 2, 4]","(2, 4, 9)"
196,A,9,aug,False,Aaug,"['A', 'C#', 'E#']","[9, 1, 5]","(1, 5, 9)"
197,A,9,dim,False,Adim,"['A', 'C', 'Eb']","[9, 0, 3]","(0, 3, 9)"
198,A,9,maj7,True,Amaj7,"['A', 'C#', 'E', 'G#']","[9, 1, 4, 8]","(1, 4, 8, 9)"
